ano,mes,chuva,evaporacao,insolacao,tempmed,umidrel,tempmax_abs,tempmax_med,tempmin_abs,tempmin_med
1981,5,61.6,116.3,236.1,21.3,73.6,32.4,27.3,9.8,16.7
1981,6,85.6,68.3,159.8,15.2,73.6,27.2,21.0,-1.6,11.0
1981,7,1.3,159.4,243.3,15.8,73.6,30.6,22.7,0.4,10.7
1981,8,85.2,166.5,197.0,19.9,73.6,32.6,26.1,8.2,15.4
1981,9,86.8,146.5,172.4,20.3,73.6,35.0,26.7,4.4,15.4
1981,10,200.4,125.3,214.8,21.5,73.6,32.8,27.1,8.6,16.8
1981,11,133.8,116.1,217.4,23.6,78.5,33.2,29.7,12.2,18.7
1981,12,394.5,92.9,219.9,23.4,78.5,33.2,28.6,13.8,19.0
1982,1,23.4,175.1,311.6,25.9,67.2,36.8,32.7,16.8,20.3
1982,2,351.6,79.4,168.5,24.4,67.2,33.2,30.1,17.8,20.4
1982,3,67.4,115.8,244.1,24.4,69.1,33.0,30.5,13.8,19.8
1982,4,82.8,138.9,268.0,22.2,61.2,32.4,28.9,11.2,17.3
1982,5,113.0,116.4,223.4,18.4,67.3,29.8,24.3,7.2,14.1
1982,6,287.2,137.2,102.4,16.8,83.1,28.0,21.4,4.4,13.4
1982,7,209.0,104.0,204.9,18.2,70.8,29.0,23.9,4.2,14.2
1982,8,156.8,121.4,196.3,20.1,70.3,32.8,25.9,9.4,15.7
1982,9,61.2,118.2,199.7,21.3,65.3,33.6,27.1,10.8,16.8
1982,10,286.4,183.1,210.2,21.6,69.6,34.4,27.2,7.2,17.0
1982,11,620.4,74.7,133.9,22.4,81.2,34.6,27.0,15.6,18.9
1982,12,132.4,111.0,232.6,24.0,68.3,33.8,29.8,11.6,19.5
1983,1,191.8,115.9,221.7,26.0,71.7,35.4,31.7,18.6,21.7
1983,2,167.8,96.4,183.0,25.2,99.1,34.4,30.9,17.0,21.2
1983,3,234.7,173.7,253.7,23.2,70.5,33.4,29.1,12.8,18.7
1983,4,286.4,142.6,152.4,21.7,78.6,32.2,26.7,12.8,18.1
1983,5,483.9,125.3,118.9,19.4,85.2,29.6,23.5,6.6,16.6
1983,6,193.1,58.4,97.0,14.5,85.2,28.8,18.4,1.2,11.5
1983,7,485.3,58.5,90.6,16.7,82.3,27.6,21.1,6.0,13.5
1983,8,38.8,150.8,198.6,18.4,82.3,33.2,24.6,5.2,13.9
1983,9,266.0,94.1,167.7,17.4,71.5,31.6,22.7,5.0,13.1
1983,10,231.5,120.0,226.8,22.1,68.4,34.4,27.7,8.2,17.5
1983,11,300.5,107.8,236.0,22.3,68.4,33.6,28.1,10.6,17.4
1983,12,110.9,148.7,279.8,25.5,62.7,34.6,31.9,17.0,20.3
1984,1,295.1,120.0,223.3,26.1,71.7,37.2,32.1,18.4,22.0
1984,2,73.5,115.8,241.4,26.6,69.8,36.6,33.3,16.6,21.9
1984,3,308.5,102.2,200.9,24.3,72.8,34.2,30.2,16.2,20.1
1984,4,138.8,78.3,178.9,20.2,72.8,30.8,25.5,7.8,16.2
1984,5,40.5,90.8,204.9,20.0,74.1,31.4,25.8,3.4,15.7
1984,6,256.7,75.3,154.6,17.6,78.2,29.2,23.0,2.6,13.8
1984,7,77.5,109.2,208.8,18.3,69.7,30.0,24.4,3.4,13.9
1984,8,208.0,88.9,172.1,16.3,70.3,30.4,21.8,0.8,12.2
1984,9,126.5,148.3,230.7,20.0,70.3,32.0,27.0,8.0,14.4
1984,10,83.4,168.1,247.1,24.8,59.7,36.4,31.3,15.4,19.3
1984,11,202.8,175.8,183.3,23.4,59.7,33.8,29.0,14.4,18.9
1984,12,249.8,120.3,244.2,23.9,87.8,33.4,29.5,15.2,18.9
1985,1,55.3,165.9,305.4,26.3,59.2,36.6,33.0,17.6,20.9
1985,2,177.0,81.7,176.6,25.4,76.1,35.4,31.6,20.0,21.4
1985,3,107.2,89.1,217.4,24.3,74.5,33.8,30.2,15.4,20.1
1985,4,192.6,77.1,185.4,21.9,77.1,32.4,27.4,11.8,18.1
1985,5,84.1,92.9,231.8,18.7,68.7,30.4,25.3,6.6,13.8
1985,6,28.8,108.3,225.5,16.6,66.4,28.4,23.1,1.0,12.0
1985,7,93.8,136.1,213.5,16.3,65.6,28.6,22.8,2.4,11.6
1985,8,73.3,120.4,172.1,18.8,64.6,32.2,24.9,5.8,14.3
1985,9,75.8,140.5,169.8,20.0,63.9,32.4,26.0,8.4,15.3
1985,10,114.3,142.1,248.4,22.8,62.9,36.2,29.5,6.0,17.3
1985,11,35.5,192.9,280.6,26.0,55.5,39.2,32.8,15.2,20.2
1985,12,73.6,241.5,291.4,27.7,49.8,39.8,35.0,18.2,21.5
1986,1,188.3,156.2,265.0,26.5,65.3,37.2,32.8,17.6,21.5
1986,2,153.4,88.2,194.1,24.7,76.3,34.6,30.6,18.6,20.8
1986,3,138.3,101.2,243.3,23.7,72.5,32.6,29.7,14.4,19.1
1986,4,192.3,91.3,189.9,22.2,76.2,34.6,27.6,10.0,18.5
1986,5,320.5,76.9,178.0,19.1,79.4,30.2,24.8,4.6,14.7
1986,6,76.2,116.4,220.5,18.5,68.0,28.8,24.7,2.8,13.8
1986,7,71.9,103.2,241.5,17.3,68.7,28.4,23.5,8.8,12.6
1986,8,175.2,107.6,205.0,19.0,69.5,31.2,24.8,5.0,14.4
1986,9,230.2,141.4,195.7,19.7,63.8,32.2,25.6,3.6,14.8
1986,10,172.0,158.5,238.7,21.7,59.5,35.0,27.9,8.6,16.4
1986,11,92.4,170.3,216.7,24.6,63.1,36.2,31.5,11.2,19.3
1986,12,209.6,120.2,239.9,25.0,69.6,34.2,30.8,17.9,20.3
1987,1,129.1,110.1,238.6,25.8,74.0,33.8,31.6,19.0,21.6
1987,2,242.6,77.1,190.5,23.3,76.2,34.2,28.9,11.2,19.2
1987,3,59.2,135.4,285.7,24.3,62.4,34.9,31.0,7.8,18.6
1987,4,265.7,88.9,179.4,22.3,75.4,32.0,27.6,15.4,18.3
1987,5,319.9,53.1,151.2,15.6,79.2,28.6,20.6,3.0,11.7
1987,6,110.1,84.2,197.1,16.0,68.8,28.2,22.4,1.2,11.1
1987,7,154.5,130.1,153.9,19.9,70.5,31.0,24.8,7.6,16.3
1987,8,40.5,124.7,203.7,17.2,64.4,32.6,23.5,3.8,12.3
1987,9,25.1,146.3,199.4,19.4,60.2,34.6,25.7,6.6,14.1
1987,10,204.4,114.6,195.9,21.6,68.9,36.6,26.9,10.0,16.9
1987,11,264.2,143.9,247.0,24.5,62.4,34.2,30.1,16.4,19.1
1987,12,222.4,129.0,259.7,24.0,67.0,34.6,29.7,14.4,19.1
1988,1,92.4,131.5,247.8,26.1,68.6,35.6,31.9,15.6,21.3
1988,2,85.6,102.0,210.1,23.8,71.8,32.4,28.9,14.6,19.3
1988,3,28.8,155.9,280.4,26.1,60.5,34.6,32.6,16.2,20.8
1988,4,186.7,93.7,170.2,21.4,72.8,32.4,26.8,8.2,17.2
1988,5,222.4,46.6,127.2,16.1,82.6,24.8,20.3,1.4,12.9
1988,6,199.3,60.0,159.0,15.3,75.7,28.0,20.4,-0.1,11.3
1988,7,5.3,120.1,248.5,14.6,59.1,28.0,21.2,-0.6,9.5
1988,8,8.8,180.5,236.3,20.2,50.4,34.0,27.1,6.0,14.7
1988,9,45.1,176.9,202.9,22.0,54.5,36.8,28.6,10.8,16.9
1988,10,234.8,166.2,245.0,21.5,57.3,35.2,28.3,7.8,15.5
1988,11,49.5,185.2,303.5,24.6,50.8,36.4,30.8,13.2,18.6
1988,12,155.4,190.3,259.1,26.6,57.5,37.6,32.8,17.8,21.3
1989,1,397.3,71.0,147.4,23.7,80.3,31.8,28.2,18.0,20.4
1989,2,123.8,65.3,194.4,24.2,77.6,32.2,29.3,17.8,20.1
1989,3,94.7,95.1,239.5,23.5,72.3,32.5,29.4,14.4,19.0
1989,4,97.0,84.8,210.2,21.7,73.1,33.4,27.4,12.8,17.4
1989,5,120.5,81.4,233.4,18.2,68.2,27.6,23.9,6.0,13.8
1989,6,122.3,52.5,159.8,16.2,79.0,25.6,21.1,7.8,12.3
1989,7,129.1,91.2,230.6,15.3,65.9,27.4,22.0,0.6,10.3
1989,8,302.8,106.7,201.2,17.6,65.6,31.2,23.8,6.4,12.5
1989,9,268.7,90.4,190.3,18.0,67.9,32.6,23.9,8.0,13.4
1989,10,200.7,129.9,273.5,21.0,61.3,34.8,27.3,8.0,15.5
1989,11,99.6,125.8,268.3,23.3,62.8,33.8,29.1,10.4,17.9
